title,price,location,url
Campbells Soup & Mobil Gas Vintage Toy Trucks,$10,Valley Stream,https://newyork.craigslist.org/lgi/clt/d/valley-stream-campbells-soup-mobil-gas/7810812953.html
We buy cars,0,New York,https://newyork.craigslist.org/que/wan/d/new-york-we-buy-cars/7815920611.html
Idemitsu OE Power Steering Fluid (12 Packs of 12oz)  For Asian Cars,$80,Nostrand Ave / Ave Z,https://newyork.craigslist.org/brk/pts/d/brooklyn-idemitsu-oe-power-steering/7815399488.html
We junk cars,0,New York,https://newyork.craigslist.org/que/wan/d/astoria-we-junk-cars/7815920858.html
2015+NISSAN TOYOTA JUNK CARS WANTED CASH,"$2,500",Anywhere,https://newyork.craigslist.org/brk/ctd/d/brooklyn-2015nissan-toyota-junk-cars/7815910956.html
Ca$h 4 All Vehicles  All Old Used Unwanted Junk Cars Trucks Vans Suvs,"$5,000",brooklyn,https://newyork.craigslist.org/brk/cto/d/brooklyn-cah-all-vehicles-all-old-used/7815891394.html
"Convolut of Matchbox, Hotwheels and other cars",$20,Buchanan,https://newyork.craigslist.org/wch/tag/d/buchanan-convolut-of-matchbox-hotwheels/7815873429.html
Large Baby Shade + suction on shades for back and side cars windows,$15,TriBeCa,https://newyork.craigslist.org/mnh/bab/d/new-york-city-large-baby-shade-suction/7808357166.html
"Wooden City - Cars, Streets, Trains, Signs 100+ pieces",$40,Buchanan,https://newyork.craigslist.org/wch/tag/d/buchanan-wooden-city-cars-streets/7815871264.html
"DIE CAST CARS (3)VW,VETTE,MUSTANG",$25,OZONE PARK,https://newyork.craigslist.org/que/clt/d/ozone-park-die-cast-cars-3vwvettemustang/7814949305.html
Large Baby Shade + suction on shades for back and side cars windows,$15,TriBeCa,https://newyork.craigslist.org/mnh/bab/d/new-york-city-large-baby-shade-suction/7808344223.html
Matchbox Cars & More,$15,Upper East Side,https://newyork.craigslist.org/mnh/tag/d/new-york-matchbox-cars-more/7815131778.html
Wheel Locks for Ford cars,$10,Bronx,https://newyork.craigslist.org/brx/for/d/bronx-wheel-locks-for-ford-cars/7815792002.html
Idemitsu OE Power Steering Fluid (12 Packs of 12oz)  For Asian Cars,$100,Nostrand Ave / Ave Z,https://newyork.craigslist.org/brk/pts/d/brooklyn-idemitsu-oe-power-steering/7811629772.html
"WANTED $ $ AURORA H, O, DETROIT AFX SLOT CARS WANTED paying top dollar",0,linden,https://newyork.craigslist.org/lgi/wan/d/linden-wanted-aurora-o-detroit-afx-slot/7810623258.html
"WANTED $$$ AURORA H, O, DETROIT AFX SLOT CARS WANTED paying top dollar",0,linden,https://newyork.craigslist.org/lgi/wan/d/linden-wanted-aurora-o-detroit-afx-slot/7811335299.html
